First Name,Last Name,Company Name,Email,Marketing Contacts,Gender,State
Jed,Brown,City Power & Light ,jed@citypowerandlight.com,Yes,Male,Arizona
Jim,Galore,City Power & Light ,jim@citypowerandlight.com,Yes,Male,Arizona
Phyllis,Ruzicka,City Power & Light ,phyllis@citypowerandlight.com,Yes,Female,Arizona
Charlotte,Weiss,Coho Winery,charlotte@cohowinery.com,Yes,Female,California
Gary,Thomas,Coho Winery,gary@cohowinery.com,Yes,Male,California
Jim,Glynn,Coho Winery,jim@cohowinery.com,Yes,Male,California
Eva,Elznicova,Coho Winery,eva@cohowinery.com,Yes,Female,California
Kevin,Kennedy,Consolidated Messenger,kevin@consolidatedmessenger.com,Yes,Male,Florida
Marcin,Kretowicz,Consolidated Messenger,marcin@consolidatedmessenger.com,Yes,Female,Florida
Adrian,Lannin,Consolidated Messenger,adrian@consolidatedmessenger.com,Yes,Male,Florida
Josh,Meisels,Consolidated Messenger,josh@consolidatedmessenger.com,Yes,Male,Florida
Satomi,Winston,Consolidated Messenger,satomi@consolidatedmessenger.com,Yes,Female,Florida
Evan,Dodds,Liberty's Delightful Sinful Bakery & Cafe,evan@libertysdelightfulsinfulbakeryandcafe.com,Yes,Male,Texas
Vladimir,Egorov,Liberty's Delightful Sinful Bakery & Cafe,vladimir@libertysdelightfulsinfulbakeryandcafe.com,Yes,Male,Texas
Sidney,Higa,Liberty's Delightful Sinful Bakery & Cafe,sidney@libertysdelightfulsinfulbakeryandcafe.com,Yes,Female,Texas
Tomas,Kobetic,Fabrikam Residences,tomas@fabrikamresidences.com,Yes,Male,Florida
Eric,Lang,Fabrikam Residences,eric@fabrikamresidences.com,Yes,Male,Florida
Ajay,Manchepalli,Fabrikam Residences,ajay@fabrikamresidences.com,Yes,Female,Florida
Jane,Dow,Fabrikam Residences,jane@fabrikamresidences.com,Yes,Female,Florida
Preeda,Ola,Fabrikam Residences,preeda@fabrikamresidences.com,Yes,Female,Florida
Luca,Budai,Fourth Coffee,luca@fourthcoffee.com,Yes,Male,Illinois
Mark,Budai,Fourth Coffee,mark@fourthcoffee.com,Yes,Male,Illinois
Michael,Sato,Fourth Coffee,michael@fourthcoffee.com,Yes,Male,Illinois
Pilar,White,Fourth Coffee,pilar@fourthcoffee.com,Yes,Female,Illinois
Robert,Paramasivam,Fourth Coffee,robert@fourthcoffee.com,Yes,Male,Illinois
Wendy ,Koska,Fourth Coffee,wendy @fourthcoffee.com,Yes,Female,Illinois
Anders,Riis,Graphic Design Institute,anders@graphicdesigninstitute.com,Yes,Male,Illinois
Daniel,Roth,Graphic Design Institute,daniel@graphicdesigninstitute.com,Yes,Male,Illinois
Rainer,Schiller,Graphic Design Institute,rainer@graphicdesigninstitute.com,Yes,Female,Illinois
Justin,Mitchell,Graphic Design Institute,justin@graphicdesigninstitute.com,Yes,Male,Illinois
Jimmy,Bischoff,Lamna Healthcare Company,jimmy@lamna healthcare company,Yes,Male,Washington
Nana,Bule,Lamna Healthcare Company,nana@lamna healthcare company,Yes,Female,Washington
Adam,Carter,Lamna Healthcare Company,adam@lamna healthcare company,Yes,Male,Washington
Rob,Cason,Lamna Healthcare Company,rob@lamna healthcare company,Yes,Male,Washington
Andrew,Dixon,"Litware, Inc.",andrew@litwareinc.com,Yes,Male,New York
Hugo,Garcia,"Litware, Inc.",hugo@litwareinc.com,Yes,Male,New York
Mark,Paiha,"Litware, Inc.",mark@litwareinc.com,Yes,Male,New York
Meagan,Bond,"Litware, Inc.",meagan@litwareinc.com,Yes,Female,New York
Yvonne,McKay,"Litware, Inc.",yvonne@litwareinc.com,Yes,Female,New York
Robin,Wood,"Litware, Inc.",robin@litwareinc.com,Yes,Female,New York
Bruno,Torres,Lucerne Publishing,bruno@lucernepublishing.com,Yes,Male,New York
Ian,Palangio,Lucerne Publishing,ian@lucernepublishing.com,Yes,Male,New York
Justin,Hadaya,Lucerne Publishing,justin@lucernepublishing.com,Yes,Male,New York
Patrick,Steiner,Lucerne Publishing,patrick@lucernepublishing.com,Yes,Male,New York
Viara,Kalnakova,Lucerne Publishing,viara@lucernepublishing.com,Yes,Female,New York
Scott,Rockfeld,Margie's Travel,scott@margiestravel.com,Yes,Male,Mississippi
Yolanda,Sánchez,Margie's Travel,yolanda@margiestravel.com,Yes,Female,Mississippi
Eran ,Shtiegman,Margie's Travel,eran @margiestravel.com,Yes,Male,Mississippi
Iben,Thorell,Margie's Travel,iben@margiestravel.com,Yes,Male,Mississippi
Susan,Burk,Margie's Travel,susan@margiestravel.com,Yes,Female,Mississippi
Alex,Wu,Northwind Traders,alex@northwindtraders.com,Yes,Male,West Virginia
April,Stewart,Northwind Traders,april@northwindtraders.com,Yes,Female,West Virginia
Greg,Chapman,Northwind Traders,greg@northwindtraders.com,Yes,Male,West Virginia
Pilar,Ackerman,"Proseware, Inc.",pilar@proseware.com,Yes,Female,Texas
Sachin,Karnik,"Proseware, Inc.",sachin@proseware.com,Yes,Female,Texas
Matt,Berg,"Proseware, Inc.",matt@proseware.com,Yes,Male,Texas
Bruce,Keever,"Proseware, Inc.",bruce@proseware.com,Yes,Male,Texas
Jacky,Chen,"Proseware, Inc.",jacky@proseware.com,Yes,Female,Texas
Andrew ,Palmer,"Proseware, Inc.",andrew @proseware.com,Yes,Male,Texas
Cora ,Gutierrez,"Proseware, Inc.",cora @proseware.com,Yes,Female,Texas
Terry,Adams,Relecloud,terry@relecloud.com,Yes,Female,Arizona
Dave,Barnett,Relecloud,dave@relecloud.com,Yes,Female,Arizona
Peter,Brehm,Relecloud,peter@relecloud.com,Yes,Male,Arizona
Bonnie,Skelly,Relecloud,bonnie@relecloud.com,Yes,Female,New York
Joris,Kalz,Relecloud,joris@relecloud.com,Yes,Male,New York
Jim,Kim,School of Fine Art,jim@schooloffineart.com,Yes,Male,Texas
Pedro,Ruivo,School of Fine Art,pedro@schooloffineart.com,Yes,Male,Texas
Samanth,Woogerd,School of Fine Art,samantha@schooloffineart.com,Yes,Female,Texas
James,Seymour,School of Fine Art,james@schooloffineart.com,Yes,Male,Texas
Anna,Bedecs,School of Fine Art,anna@schooloffineart.com,Yes,Female,Texas
Michael,Pfeiffer,Southridge Video,michael@southridgevideo.com,Yes,Male,Georgia
Louise,Toubro,Southridge Video,louise@southridgevideo.com,Yes,Female,Georgia
Miles,Reid,Southridge Video,miles@southridgevideo.com,Yes,Male,Georgia
Soumya,Singhi,Tailspin Toys,soumya@tailspintoys.com,Yes,Female,Michigan
Kim,Steffensen,Tailspin Toys,kim@tailspintoys.com,Yes,Female,Michigan
Justin,Thorp,Tailspin Toys,justin@tailspintoys.com,Yes,Male,Michigan
Lisa,Toftemark,Tailspin Toys,lisa@tailspintoys.com,Yes,Female,Michigan
Marco,Tanara,Tailspin Toys,marco@tailspintoys.com,Yes,Male,Michigan
Jeffrey,Zeng,The Phone Company,jeffrey@thephone-company.com,Yes,Male,Missouri
Ivan,Komashinsky,The Phone Company,ivan@thephone-company.com,Yes,Female,Missouri
Sean,Chai,The Phone Company,sean@thephone-company.com,Yes,Male,Missouri
Michael,Krause,Trey Research,michael@treyresearch.net,Yes,Male,Florida
Allison,Brown,Trey Research,allison@treyresearch.net,Yes,Female,Florida
Mirko,Mandic,Trey Research,mirko@treyresearch.net,Yes,Male,Florida
Humberto,Acevedo,Trey Research,humberto@treyresearch.net,Yes,Male,Florida
Isabelle,Scemla,Trey Research,isabelle@treyresearch.net,Yes,Female,Florida
Roxanne,Kenison,Trey Research,roxanne@treyresearch.net,Yes,Female,Florida
Britta,Simon,Woodgrove Bank,britta@woodgrovebank.com,Yes,Female,Illinois
Darren,Parker,Woodgrove Bank,darren@woodgrovebank.com,Yes,Male,Illinois
,,,,,,
,,,,,,
